formatted_date,EWA,EWA_beta,const_beta,EWC,y_hat,e,q,sqrt_q,zScore,longsEntry,longsExit,shortsEntry,shortsExit
2007-08-27,14.748699188232422,1.5196500600869522,0.20416149866139094,22.459985733032227,22.617023106263176,-0.15703737323094913,0.024890632496515887,0.15776765351781044,0.8619505764114874,False,False,False,True
2007-08-28,14.311308860778809,1.517404053588718,0.20344561799314595,21.881362915039062,21.91948369549905,-0.03812078045998746,0.02414679821257524,0.15539240075555574,1.1873606948574744,False,False,False,True
2007-08-29,14.818041801452637,1.518410048958554,0.20327268875459462,22.71885108947754,22.70313626596819,0.01571482350934872,0.025194654561119637,0.15872824122102416,1.019842134715633,False,True,False,False
2007-08-30,14.465991020202637,1.5257732366791108,0.20477124658776824,22.399078369140625,22.276593187253297,0.1224851818873276,0.024430494030636705,0.15630257205381076,1.1759778104906204,False,True,False,False
2007-08-31,14.903380393981934,1.5198567685825624,0.20582725337894664,22.764528274536133,22.85683081993304,-0.09230254539690819,0.025277794799024016,0.15898992043215826,-1.028164813634554,False,False,False,True
2007-09-04,15.186092376708984,1.5124422969860267,0.20773350717969793,23.061460494995117,23.175821943651425,-0.11436144865630737,0.025592221894681643,0.159975691574319,-0.8917468041525459,False,False,False,True
2007-09-05,14.722024917602539,1.5257254039709414,0.21088905707142064,22.893964767456055,22.67265647175082,0.22130829570523503,0.0246549082644906,0.15701881500154877,1.1390675923954325,False,True,True,False
2007-09-06,15.116747856140137,1.5175147148395673,0.21195473265913736,23.023387908935547,23.151842044871277,-0.12845413593572985,0.025463147537728204,0.15957176297117295,-0.5982015941094236,False,False,False,True
2007-09-07,14.834039688110352,1.5205368242217376,0.2124731729559694,22.817827224731445,22.7681767706945,0.049650454036946456,0.02486790284392216,0.15769560185345105,0.25962755710867447,False,True,False,False
2007-09-10,14.850043296813965,1.5181754524439555,0.21221500562431153,22.71885108947754,22.75718620657718,-0.03833511709964199,0.024978249207128718,0.15804508599487907,-0.43175021063219415,False,False,False,True
2007-09-11,15.399453163146973,1.5012023571655948,0.21723413701255967,23.07668685913086,23.33492952458997,-0.258242665459111,0.02590840403379847,0.16096087733917974,-1.2499295355806626,True,False,False,True
2007-09-12,15.228759765625,1.5101654117407366,0.21721781549634467,23.35838508605957,23.215164077252187,0.14322100880738375,0.025397470152849523,0.15936583747105126,0.9851074042306062,False,True,False,False
2007-09-13,15.410118103027344,1.511354046900384,0.2171027574361588,23.525882720947266,23.507247115659403,0.018635605287862234,0.02570569765587752,0.16032996493443613,0.3117560652822331,False,True,False,False
2007-09-14,15.43679141998291,1.515295401873597,0.21695877740628894,23.67054557800293,23.608257835788187,0.062287742214742536,0.025676822502987817,0.16023989048607035,0.40627483560025696,False,True,False,False
2007-09-17,15.154084205627441,1.5304959127231257,0.2203011652343332,23.66292953491211,23.413565103009205,0.24936443190290447,0.02518890346603957,0.15871012401872658,1.29129756552253,False,True,True,False
2007-09-18,15.650152206420898,1.5349580069557394,0.21938826756922364,24.310077667236328,24.24171470689101,0.06836296034531841,0.026101359572805242,0.1615591519314373,-0.3061714149212041,False,True,False,False
2007-09-19,15.996870040893555,1.5156953034087677,0.22522671200152403,24.180652618408203,24.47160750222431,-0.2909548838161058,0.026478274635833573,0.16272146335328222,-1.385117046022231,True,False,False,True
2007-09-20,16.01286506652832,1.5100155168309815,0.2259780333688087,24.31769561767578,24.405652752747336,-0.08795713507155511,0.02631450053718229,0.1622174483130045,-0.3163047673014385,False,False,False,True
2007-09-21,16.108884811401367,1.507937814006324,0.22618395073899056,24.48519515991211,24.517380499323245,-0.03218533941113577,0.02641185517798912,0.1625172457863753,0.35343932483481777,False,False,False,True
2007-09-24,16.284910202026367,1.4987317202689714,0.22742407712942647,24.49280548095703,24.63413555863813,-0.14133007768109707,0.026633615789142764,0.1631980875780803,-0.028981502151585542,False,False,False,True
2007-09-25,16.514270782470703,1.4857577793328776,0.22981907787144906,24.568941116333008,24.766025362936944,-0.19708424660393575,0.026903296736697307,0.16402224463985765,-1.165166291510579,True,False,False,True
2007-09-26,16.695627212524414,1.4734367699971607,0.23198583250712843,24.645076751708984,24.8319368656058,-0.18686011389681667,0.02706814137915407,0.1645239842064192,-0.6294821897868983,True,False,False,True
2007-09-27,16.828981399536133,1.468577253241098,0.23266456225149412,24.873483657836914,24.947323840827796,-0.07384018299088169,0.027171695921629064,0.1648383933482399,1.3529641110939896,False,False,False,True
2007-09-28,16.957000732421875,1.4618279241827292,0.23346003013964967,24.919164657592773,25.02167721118094,-0.10251255358816636,0.027288406127664262,0.1651920280390802,0.6137380543534056,False,False,False,True
2007-10-01,17.383726119995117,1.4490592067172459,0.237132151140023,25.238937377929688,25.427180532370016,-0.1882431544403289,0.027848077167274502,0.1668774315696239,-0.8603151559816616,True,False,False,True
2007-10-02,17.207700729370117,1.4450337536099922,0.23711893845045146,25.040985107421875,25.102827314409552,-0.06184220698767717,0.027418463828206514,0.16558521621269973,0.7849174759142656,False,False,False,True
2007-10-03,17.13835906982422,1.438518077900345,0.2366197759045268,24.789737701416016,24.890459123394006,-0.10072142197799039,0.027344098725550457,0.16536051138512622,0.23632973210599664,False,False,False,True
2007-10-04,17.117021560668945,1.4454695991103814,0.23718087155541476,25.086668014526367,24.979315164819308,0.10735284970705905,0.027343918890436233,0.16535996761742616,1.3568197179264538,False,True,False,False
2007-10-05,17.4103946685791,1.4505160097604055,0.23659849588815868,25.566316604614258,25.490654698909356,0.0756619057049015,0.027782213258047257,0.1666799725763334,0.6927458200187668,False,True,False,False
2007-10-08,17.17569923400879,1.4597084801135365,0.23775640921559954,25.452116012573242,25.309270232977802,0.1428457795954401,0.027341481737151316,0.16535259821711698,0.799947135884955,False,True,False,False
2007-10-09,17.634428024291992,1.4471412063797962,0.24020838382698442,25.573928833007812,25.759715828718583,-0.18578699571077095,0.02806059842241251,0.16751297986249455,-1.4745947785894542,True,False,False,True
